Symbol,Date,Action,Price,Next_Close,PnL
TATAELXSI,1970-01-01 00:00:00.000000063,HOLD,6311.0,6196.5,0
TATAELXSI,1970-01-01 00:00:00.000000064,HOLD,6196.5,6166.0,0
TATAELXSI,1970-01-01 00:00:00.000000065,HOLD,6166.0,6198.5,0
TATAELXSI,1970-01-01 00:00:00.000000066,HOLD,6198.5,6210.0,0
TATAELXSI,1970-01-01 00:00:00.000000067,HOLD,6210.0,6235.5,0
TATAELXSI,1970-01-01 00:00:00.000000068,HOLD,6235.5,6226.0,0
TATAELXSI,1970-01-01 00:00:00.000000069,HOLD,6226.0,6062.0,0
TATAELXSI,1970-01-01 00:00:00.000000070,HOLD,6062.0,6035.5,0
TATAELXSI,1970-01-01 00:00:00.000000071,HOLD,6035.5,6090.5,0
TATAELXSI,1970-01-01 00:00:00.000000072,HOLD,6090.5,6101.0,0
TATAELXSI,1970-01-01 00:00:00.000000073,HOLD,6101.0,6093.5,0
TATAELXSI,1970-01-01 00:00:00.000000074,HOLD,6093.5,6054.5,0
TATAELXSI,1970-01-01 00:00:00.000000075,HOLD,6054.5,6031.0,0
TATAELXSI,1970-01-01 00:00:00.000000076,HOLD,6031.0,5961.5,0
TATAELXSI,1970-01-01 00:00:00.000000077,HOLD,5961.5,5816.0,0
TATAELXSI,1970-01-01 00:00:00.000000078,HOLD,5816.0,5865.0,0
TATAELXSI,1970-01-01 00:00:00.000000079,HOLD,5865.0,5759.5,0
TATAELXSI,1970-01-01 00:00:00.000000080,HOLD,5759.5,5676.5,0
TATAELXSI,1970-01-01 00:00:00.000000081,HOLD,5676.5,5617.5,0
TATAELXSI,1970-01-01 00:00:00.000000082,HOLD,5617.5,5671.0,0
TATAELXSI,1970-01-01 00:00:00.000000083,HOLD,5671.0,5681.5,0
TATAELXSI,1970-01-01 00:00:00.000000084,HOLD,5681.5,5677.5,0
TATAELXSI,1970-01-01 00:00:00.000000085,HOLD,5677.5,5726.5,0
TATAELXSI,1970-01-01 00:00:00.000000086,HOLD,5726.5,5745.5,0
TATAELXSI,1970-01-01 00:00:00.000000087,HOLD,5745.5,5659.0,0
TATAELXSI,1970-01-01 00:00:00.000000088,HOLD,5659.0,5579.5,0
TATAELXSI,1970-01-01 00:00:00.000000089,HOLD,5579.5,5546.5,0
TATAELXSI,1970-01-01 00:00:00.000000090,HOLD,5546.5,5478.5,0
TATAELXSI,1970-01-01 00:00:00.000000091,HOLD,5478.5,5338.0,0
TATAELXSI,1970-01-01 00:00:00.000000092,HOLD,5338.0,5234.0,0
TATAELXSI,1970-01-01 00:00:00.000000093,HOLD,5234.0,5357.0,0
TATAELXSI,1970-01-01 00:00:00.000000094,HOLD,5357.0,5425.5,0
TATAELXSI,1970-01-01 00:00:00.000000095,HOLD,5425.5,5427.5,0
TATAELXSI,1970-01-01 00:00:00.000000096,HOLD,5427.5,5428.0,0
TATAELXSI,1970-01-01 00:00:00.000000097,HOLD,5428.0,5451.0,0
